address,username,current_stake_usd,current_side,insider_likelihood_score,win_rate,pnl_per_usd,timing_edge,conviction_z,consistency,signed_contribution,sample_size,low_sample_flag
0xf9f207b77137caa79c6c4516abdef3133db45cba,gigaplayer,300.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-150.00,2,True
0xf5198df69e13937a40d1c76d6f72d9aa067d906b,sbimbg,299.96,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-149.98,1,True
0xe8c098e2cd8cfae9a445d81b8e46f95cbda3be99,OU812TSK,134.43,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-67.21,4,True
0x1cfc260bfa2b5ae89377863180ca3b4f5c862111,lissartter,43.42,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-21.71,0,True
0xe50b63086d0015f04478ce3266c913b96c9a8bde,Jpegpeddler,40.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-20.00,0,True
0xd84fc6bce6917c7a342bc6b18bc1879f365aaa79,0xD84fC6BcE6917C7a342BC6B18Bc1879F365AAa79-1761057931165,28.99,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-14.49,0,True
0x23cb796cf58bfa12352f0164f479deedbd50658e,quepasamae,23.83,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-11.92,1,True
0x669d24dbc327e954a19ccd81b5fee2d5ec9e19b0,Degen23,20.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-10.00,2,True
0xcf5867c243594ca9737712511c726ed90992d9bd,runnerrunner17,20.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-10.00,1,True
0xae235df842ba78e7ce47abf189578e76567e7d21,0x92101Trader,13.16,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-6.58,5,False
0x3f2c3d3a130300efe540324708a42818ebdbc361,souvy,13.16,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-6.58,2,True
0x63ccec430c6ce39589360a6a29223558508feb32,RedBullRing,13.16,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-6.58,0,True
0x10bb2bdba9cb037121017fe893b174b478a7d49d,Austin2035,10.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-5.00,10,False
0x53437cea0e947bfe8014604a610f03d25c350b0f,William202510,10.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-5.00,5,False
0xedead69417142e857d012cf4bfc546647238fef9,BaroTheseous,9.21,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-4.61,0,True
0xffb89ba0f466cd0210aa2076933b91866ce9e610,kugouu,9.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-4.50,1,True
0x5c67ca3650463cbb70fcc1ff918ae12edfdd0cac,0x5c67CA3650463cbb70FCC1fF918AE12eDfDD0caC-1760298986022,8.70,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-4.35,2,True
0x1a0aa6007cc6b6124c475aa086b200c1f5999229,Jacyniu,7.00,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-3.50,0,True
0xaec4679f8bf82ba20ef49fcb16dae915c0b89fd4,Mood077,2.90,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-1.45,1,True
0x5058f2e97ceb4438467f24f19fd2663ce92f6d7b,MTrade08,2.63,NO,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,-1.32,0,True
0x4b92a2d2fd3807981a5dddae7315122530a542e6,wisser,556.46,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,278.23,6,False
0xd0cdeb9c20221b9aa7d873f865827ccbe13c45ab,salles,160.00,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,80.00,25,False
0xb3cc0d905d20ec09871768d12327eb99a8d4a23a,dabendangt,100.00,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,50.00,0,True
0x8bab63e4d9aac6182e07f21393c7e822e9504f17,Black.Rock,72.00,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,36.00,22,False
0x4ffe49ba2a4cae123536a8af4fda48faeb609f71,planktonXD,28.11,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,14.06,1,True
0xc6e5b32fb9c7c803f7119cd96ac4db0c165b2244,LifeinSardinia,20.00,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,10.00,3,True
0x4497895c3360abc4d79887ecfe32adeeb8758c81,garrota,19.23,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,9.62,1,True
0x8b57c5f232131bc77099f02a8be987d97d27919b,0x8B57C5f232131bC77099f02A8BE987D97d27919B-1761114501406,19.23,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,9.62,0,True
0x0c67e22e1a7f06d6d695c0d06f59486be1af85a6,0x0C67E22e1A7f06d6d695c0d06F59486be1Af85a6-1758552458408,13.89,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,6.94,6,False
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,13.16,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,6.58,0,True
0x5091a3f31546acb9d09edc7df7262f4d3f14f7a9,0x5091A3f31546acB9d09EDC7DF7262F4D3F14F7a9-1759950205898,7.69,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,3.85,1,True
0xa9a17207f78f18521868a51e94b763c3bd66c98a,LBZero,2.48,YES,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,1.24,1,True
